Ref,Val,Package,PosX,PosY,Rot,Side
C0,0.1u,SMD-0805,3.889764,-2.594488,0.000000,top
C1,0.1u,SMD-0805,2.657480,-5.633858,0.000000,top
C2,0.1u,SMD-0805,1.983465,-7.303150,0.000000,top
C3,0.1u,SMD-0805,2.883858,-7.539370,180.000000,top
C4,0.1u,SMD-0805,4.071654,-4.350787,180.000000,top
C5,0.1u,SMD-0805,3.263780,-4.137795,0.000000,top
C6,0.1u,SMD-0805,3.836220,-5.831496,0.000000,top
C7,0.1u,SMD-0805,4.456693,-7.791339,0.000000,top
C8,10u,SMD-POL-1206,4.112000,-8.118000,270.000000,top
C9,0.1u,SMD-0805,4.952756,-2.523622,0.000000,top
C10,0.1u,SMD-0805,5.033465,-5.822835,0.000000,top
C11,0.1u,SMD-0805,5.712598,-7.665354,0.000000,top
C12,0.1u,SMD-0805,4.271654,-1.480315,0.000000,top
C13,0.1u,SMD-0805,5.228346,-4.137795,180.000000,top
C14,0.1u,SMD-0805,5.862205,-5.633858,180.000000,top
C15,0.1u,SMD-0805,6.543307,-7.303150,180.000000,top
C16,10u,SMD-POL-1206,4.566929,-4.716535,270.000000,top
C17,10u,SMD-POL-1206,3.405512,-8.120079,90.000000,top
C18,0.1u,SMD-0805,4.224409,-6.466535,0.000000,top
C19,0.1u,SMD-0805,4.372047,-6.466535,0.000000,top
D8,SMBJ22D-M3/H,DO-214AA,4.300000,-8.100000,90.000000,top
F1,24V 3A,SMD-2920,4.600000,-8.250000,180.000000,top
J1,PJ-006B-SMT-TR,PJ-006B-SMT,5.147638,-8.100394,180.000000,top
U2,TLC5955DCA,HTSSOP-56_14x6.1,4.273920,-5.001284,0.000000,top
U3,LM1085-5.0,TO-263,3.700000,-7.962598,270.000000,top
U4,MC14504B,SOIC-16,4.300000,-6.800000,0.000000,top
